PC=0000000000000794, REG[ 1]=0000000000000009
PC=0000000000000798, REG[ 3]=000000000000c068
PC=000000000000079c, ---
PC=00000000000007a0, REG[ 3]=000000000000000d
PC=00000000000007a4, ---
PC=00000000000007a8, REG[ 1]=000000000000000d
PC=00000000000007ac, REG[ 3]=0000000000000000
PC=00000000000007b0, ---
PC=00000000000007b4, REG[ 1]=000000000000c008
PC=00000000000007b8, REG[ 3]=0000000000000010
PC=00000000000007bc, ---
PC=00000000000007c0, REG[ 1]=0000000000000010
PC=00000000000007c4, REG[ 2]=000000000000000d
PC=00000000000007c8, REG[ 3]=0000000000000000
PC=00000000000007cc, ---
PC=00000000000007d0, REG[ 1]=0000000000000000
PC=00000000000007d4, REG[ 2]=0000000000000000
PC=00000000000007d8, REG[ 3]=0000000000000000
PC=00000000000007dc, ---
PC=00000000000007e0, REG[ 1]=0000000000000000
PC=00000000000007e4, ---
PC=00000000000007f0, REG[ 1]=000000000000000d
PC=00000000000007f4, REG[ 3]=0000000000000068
PC=00000000000007f8, ---
PC=00000000000007fc, REG[ 1]=000000000000c008
PC=0000000000000800, REG[ 2]=0000000000000068
PC=0000000000000804, REG[ 3]=000000000000c070
PC=0000000000000808, ---
PC=000000000000080c, REG[ 3]=0000000000000007
PC=0000000000000810, ---
PC=0000000000000814, REG[ 1]=0000000000000007
PC=0000000000000818, REG[ 3]=000000000000c070
PC=000000000000081c, ---
PC=0000000000000820, REG[ 3]=000000000000000e
PC=0000000000000824, ---
PC=0000000000000828, REG[ 1]=000000000000000e
PC=000000000000082c, REG[ 3]=0000000000000000
PC=0000000000000830, ---
PC=0000000000000834, REG[ 1]=000000000000c008
PC=0000000000000838, REG[ 3]=0000000000000010
PC=000000000000083c, ---
PC=0000000000000840, REG[ 1]=0000000000000010
PC=0000000000000844, REG[ 2]=000000000000000e
PC=0000000000000848, REG[ 3]=0000000000000000
PC=000000000000084c, ---
PC=0000000000000850, REG[ 1]=0000000000000000
PC=0000000000000854, REG[ 2]=0000000000000000
PC=0000000000000858, REG[ 3]=0000000000000000
PC=000000000000085c, ---
PC=0000000000000860, REG[ 1]=0000000000000000
PC=0000000000000864, ---
PC=0000000000000870, REG[ 1]=000000000000000e
PC=0000000000000874, REG[ 3]=0000000000000070
PC=0000000000000878, ---
PC=000000000000087c, REG[ 1]=000000000000c008
PC=0000000000000880, REG[ 2]=0000000000000070
PC=0000000000000884, REG[ 3]=000000000000c078
PC=0000000000000888, ---
PC=000000000000088c, REG[ 3]=0000000000000009
PC=0000000000000890, ---
PC=0000000000000894, REG[ 1]=0000000000000009
PC=0000000000000898, REG[ 3]=000000000000c078
PC=000000000000089c, ---
PC=00000000000008a0, REG[ 3]=000000000000000f
PC=00000000000008a4, ---
PC=00000000000008a8, REG[ 1]=000000000000000f
PC=00000000000008ac, REG[ 3]=0000000000000000
PC=00000000000008b0, ---
PC=00000000000008b4, REG[ 1]=000000000000c008
PC=00000000000008b8, REG[ 3]=0000000000000010
PC=00000000000008bc, ---
PC=00000000000008c0, REG[ 1]=0000000000000010
PC=00000000000008c4, REG[ 2]=000000000000000f
PC=00000000000008c8, REG[ 3]=0000000000000000
PC=00000000000008cc, ---
PC=00000000000008d0, REG[ 1]=0000000000000000
PC=00000000000008d4, REG[ 2]=0000000000000000
PC=00000000000008d8, REG[ 3]=0000000000000000
PC=00000000000008dc, ---
PC=00000000000008e0, REG[ 1]=0000000000000000
PC=00000000000008e4, ---
